Date,Close,High,Low,Open,Volume,Daily_Return,Next_Close
6/8/2020,81.03653717,81.07056315,79.54441498,80.25645381,95654400,,83.59550476
6/9/2020,83.59550476,83.98919153,80.68416274,80.71575617,147712400,3.157794841,85.74620819
6/10/2020,85.74620819,86.21522972,84.1058417,84.54570235,166651600,2.572750097,81.62949371
6/11/2020,81.62949371,85.31363615,81.52743062,84.88835596,201662400,-4.801045509,82.33426666
6/12/2020,82.33426666,84.52142259,81.22125058,83.77293249,200146000,0.863380277,83.35250092
6/15/2020,83.35250092,84.00621804,80.82268995,80.9855148,138808800,1.236707745,85.56153107
6/16/2020,85.56153107,85.83371668,83.77292723,85.41086152,165428800,2.6502266,85.44245148
6/17/2020,85.44245148,86.3683468,85.32094283,86.30759247,114406400,-0.139174216,85.47647095
6/18/2020,85.47647095,85.89446097,84.8664952,85.39870364,96820400,0.039815653,84.98799896
6/19/2020,84.98799896,86.65023618,83.87740827,86.18364718,264476000,-0.571469528,87.21159363
6/22/2020,87.21159363,87.35497291,85.33550028,85.38167415,135445200,2.616363125,89.07312012
6/23/2020,89.07312012,90.49477264,88.03786417,88.45828672,212155600,2.134494293,87.50079346
6/24/2020,87.50079346,89.62233679,87.1265448,88.70129931,192623200,-1.765208918,88.66241455
6/25/2020,88.66241455,88.7012982,86.89568177,87.65632697,137522400,1.327554926,85.9382019
6/26/2020,85.9382019,88.7790745,85.78995751,88.55792789,205256800,-3.072567627,87.91876984
6/29/2020,87.91876984,88.01355011,85.36708902,85.84583324,130646000,2.304642043,88.65270233
6/30/2020,88.65270233,88.93946836,87.48622233,87.50566045,140223200,0.834784764,88.48499298
7/1/2020,88.48499298,89.27479892,88.43639399,88.73044274,110737200,-0.189175678,88.48499298
7/2/2020,88.48499298,90.0305863,88.37078201,89.39388239,114041600,0,90.85201263
7/6/2020,90.85201263,91.32103421,89.88480118,89.91639461,118655600,2.675052089,90.57009125
7/7/2020,90.57009125,92.01118163,90.4583054,91.2310984,112424400,-0.310308356,92.67948914
7/8/2020,92.67948914,92.71108257,91.46197032,91.54946039,117092000,2.329022594,93.07804108
7/9/2020,93.07804108,93.62725503,92.02820476,93.57379094,125642800,0.430032518,93.24088287
7/10/2020,93.24088287,93.29921207,92.05982227,92.67222324,90257200,0.174951895,92.81072235
7/13/2020,92.81072235,97.16316235,92.59686598,94.54829427,191649200,-0.461343253,94.34659576
7/14/2020,94.34659576,94.53857406,91.25541585,92.19102639,170989200,1.6548448,94.99544525
7/15/2020,94.99544525,96.47541947,93.7949394,96.22511199,153198000,0.687729623,93.82653809
7/16/2020,93.82653809,94.68438876,93.22628512,93.86542174,110577600,-1.230487591,93.63697815
7/17/2020,93.63697815,94.43407445,93.16309153,94.27854726,92186800,-0.202032325,95.61027527
7/20/2020,95.61027527,95.74879688,93.37937868,93.72446644,90318000,2.10739086,94.29070282
7/21/2020,94.29070282,96.4778583,94.04039532,96.40252354,103433200,-1.380157567,94.55558014
7/22/2020,94.55558014,95.23845801,93.90429569,93.99177834,89001600,0.280915627,90.2517395
7/23/2020,90.2517395,94.3660194,89.44006285,94.28825211,197004400,-4.551651664,90.02817535
7/24/2020,90.02817535,90.37326314,86.65509448,88.44613798,185438800,-0.247711733,92.16184998
7/27/2020,92.16184998,92.25419771,90.86900398,91.09257567,121214000,2.370007626,90.64788818
7/28/2020,90.64788818,91.9091486,90.64302309,91.7317433,103625600,-1.642720705,92.38545227
7/29/2020,92.38545227,92.57014778,91.09503108,91.13148219,90329200,1.916827983,93.50332642
7/30/2020,93.50332642,93.60782206,91.1484885,91.55675573,158130000,1.210011012,103.2920609
7/31/2020,103.2920609,103.4427304,98.00886044,100.0113278,374336800,10.46886224,105.8947678
8/3/2020,105.8947678,108.5193511,104.8789574,105.1778639,308151200,2.51975504,106.6019516
8/4/2020,106.6019516,107.6955293,105.3601296,106.0843237,173071600,0.667817545,106.9883575
8/5/2020,106.9883575,107.3091421,105.8558961,106.3224926,121776800,0.362475489,110.7210846
8/6/2020,110.7210846,111.2168419,106.7307455,107.3212757,202428800,3.488909575,108.2037735
8/7/2020,108.2037735,110.6991918,107.40524,110.2414943,198045600,-2.273560727,109.7764816
8/10/2020,109.7764816,110.7965604,107.1203822,109.652317,212403600,1.453468839,106.5117493
8/11/2020,106.5117493,109.5378984,106.2512502,109.0388178,187902400,-2.973981596,110.0516129
8/12/2020,110.0516129,110.3096751,107.4101195,107.6048809,165598000,3.323448925,111.9992142
8/13/2020,111.9992142,113.0046861,110.9450482,111.4343959,210082000,1.769716288,111.8994141
8/14/2020,111.8994141,111.9894914,110.0856682,111.8239435,165565200,-0.089107866,111.6072693
8/17/2020,111.6072693,113.0485287,110.9791576,113.0241817,119561600,-0.261078021,112.5372925
8/18/2020,112.5372925,112.9633396,111.0229991,111.3589689,105633600,0.833299837,112.6784668
8/19/2020,112.6784668,114.0953791,112.583523,112.9462692,145538000,0.125446697,115.1787643
8/20/2020,115.1787643,115.2931887,112.7028194,112.719863,126907200,2.218966602,121.1142044
8/21/2020,121.1142044,121.5986783,116.1282348,116.1404046,338054800,5.153241656,122.562767
8/24/2020,122.562767,125.4136355,120.6930311,125.3284172,345937600,1.196030333,121.5572815
8/25/2020,121.5572815,121.9029914,119.8311836,121.4331243,211495600,-0.820384166,123.21035
8/26/2020,123.21035,123.6680474,121.8080445,122.8768173,163022400,1.359909108,121.7374496
8/27/2020,121.7374496,124.1476568,120.5907693,123.8141241,155552400,-1.195435603,121.5402679
8/28/2020,121.5402679,123.1324613,121.3162857,122.7137176,187630000,-0.16197292,125.6619568
8/31/2020,125.6619568,127.570654,122.7015451,124.2401853,225702700,3.391212569,130.6673889
9/1/2020,130.6673889,131.2711685,127.1129456,129.2845639,151948100,3.983251779,127.9601746
9/2/2020,127.9601746,134.3679236,123.6753647,133.9881337,200119000,-2.071836269,117.7155914
9/3/2020,117.7155914,125.467213,117.3455418,123.5877439,257599600,-8.006071549,117.7934799
9/4/2020,117.7934799,120.4617495,107.987095,116.9267791,332607200,0.066166672,109.8665848
9/8/2020,109.8665848,115.875064,109.7302503,110.9670008,231366600,-6.729485492,114.2487564
9/9/2020,114.2487564,116.0211115,112.2426862,114.1903295,176940500,3.988630064,110.5190201
9/10/2020,110.5190201,117.3455121,109.5549387,117.2091777,182274400,-3.26457499,109.0680313
9/11/2020,109.0680313,112.2134787,107.1203879,111.5707528,180860300,-1.312886025,112.340065
9/14/2020,112.340065,112.895143,109.847084,111.7168197,140150100,2.999993355,112.5153732
9/15/2020,112.5153732,115.7192479,110.6358968,115.232337,184642000,0.156051385,109.1946335
9/16/2020,109.1946335,112.9633264,109.1069931,112.2134869,154679000,-2.951365356,107.4514771
9/17/2020,107.4514771,109.2627859,105.8641504,106.8477124,178011000,-1.596375552,104.043129
9/18/2020,104.043129,107.9773704,103.3127625,107.50994,287104900,-3.171988117,107.1983032
9/21/2020,107.1983032,107.3054242,100.4010239,101.8033297,195713800,3.03256379,108.8830109
9/22/2020,108.8830109,109.9055267,106.3023891,109.7302385,183055400,1.571580511,104.3157959
9/23/2020,104.3157959,109.1751647,103.9749523,108.6979941,150718700,-4.194607524,105.3869858
9/24/2020,105.3869858,107.3638426,102.2512787,102.4168266,167743300,1.026872173,109.3407211
9/25/2020,109.3407211,109.4965362,104.8514016,105.5915083,149981400,3.751635292,111.9505463
9/28/2020,111.9505463,112.3011227,109.8276146,111.9992403,137672400,2.3868739,111.1033325
9/29/2020,111.1033325,112.2913964,110.5969484,111.5512971,99382200,-0.756774999,112.7782822
9/30/2020,112.7782822,114.190328,110.6456178,110.8111657,142675200,1.507560222,113.7326355
10/1/2020,113.7326355,114.63829,112.7977676,114.5603824,116120400,0.846220845,110.0613174
10/2/2020,110.0613174,112.3498042,109.2822646,109.9347233,144712000,-3.228025129,113.4502335
10/5/2020,113.4502335,113.5963082,110.5774623,110.9280387,106243800,3.079116346,110.1976776
10/6/2020,110.1976776,113.0801892,109.3114962,112.6711784,161498200,-2.866945045,112.0674286
10/7/2020,112.0674286,112.5251261,111.1422933,111.6194714,96849000,1.696724484,111.9602966
10/8/2020,111.9602966,113.3528621,111.5902396,113.2067874,83477200,-0.095595981,113.9079361
10/9/2020,113.9079361,113.9371496,111.9115985,112.2621749,100506900,1.73958048,121.1434174
10/12/2020,121.1434174,121.9029971,116.1574477,116.9170274,240226800,6.352043159,117.9298172
10/13/2020,117.9298172,122.1075136,116.5177786,121.9906523,262330500,-2.652723713,118.0174713
10/14/2020,118.0174713,119.8092999,116.4885713,117.8324428,150712000,0.074327355,117.5500183
10/15/2020,117.5500183,118.0271889,115.0570371,115.6121152,112559200,-0.396087967,115.9042664
10/16/2020,115.9042664,118.3680417,115.6997647,118.1051057,115393800,-1.400043979,112.9438324
10/19/2020,112.9438324,117.2675952,112.6322098,116.8196382,120639300,-2.554206202,114.4337769
10/20/2020,114.4337769,115.8652958,112.6029875,113.1580655,124423700,1.319190633,113.8105621
10/21/2020,113.8105621,115.6023908,113.4015513,113.6157933,89946000,-0.544607317,112.7198563
10/22/2020,112.7198563,114.9499087,111.5902196,114.3753501,101988000,-0.958352064,112.02845
10/23/2020,112.02845,113.4989229,111.2883434,113.3431078,82572600,-0.613384609,112.0381927
10/26/2020,112.0381927,113.4989253,109.924994,111.0254173,111850700,0.008696663,113.5476151
10/27/2020,113.5476151,114.2098141,111.5415446,112.4666723,92276800,1.347239067,108.2889633
10/28/2020,108.2889633,112.4082321,108.1915826,112.0381826,143937800,-4.631230459,112.3011169
10/29/2020,112.3011169,113.8689705,109.2627906,109.4283459,146129200,3.705043896,106.0102158
10/30/2020,106.0102158,109.0582746,104.9000598,108.1526202,190272600,-5.601815329,105.9225922
11/2/2020,105.9225922,107.7825953,104.5105535,106.2536954,122866900,-0.082655804,107.5488586
11/3/2020,107.5488586,108.5713669,105.8836246,106.789279,107624400,1.535334858,111.9407959
11/4/2020,111.9407959,112.5640412,109.4088611,111.1520027,138235500,4.083667006,115.9139862
11/5/2020,115.9139862,116.4885448,113.8105354,114.8622571,126387100,3.54936757,115.7823257
11/6/2020,115.7823257,116.2798264,113.2850358,115.4213874,114457900,-0.113584621,113.4703751
11/9/2020,113.4703751,119.0014688,113.2069928,117.5479731,154515300,-1.996807949,113.1289444
11/10/2020,113.1289444,114.7092525,111.3340172,112.7192354,138023400,-0.300898507,116.5626907
11/11/2020,116.5626907,116.6992604,113.5874152,114.3190414,112295000,3.035250047,116.289566
11/12/2020,116.289566,117.5772281,115.6652455,116.6895253,103162300,-0.234315709,116.338356
11/13/2020,116.338356,116.7383079,114.982409,116.5139467,81581900,0.041955594,117.3528671
11/16/2020,117.3528671,118.0259583,115.2555368,116.0066699,91183000,0.872034936,116.4651642
11/17/2020,116.4651642,117.7138054,116.0456981,116.6212481,74271000,-0.756439074,115.1384888
11/18/2020,115.1384888,116.8846381,115.1092249,115.7042817,76322100,-1.139117799,115.7335281
11/19/2020,115.7335281,116.1432371,113.9483581,114.7092483,74113000,0.516803177,114.4653625
11/20/2020,114.4653625,115.8603302,114.4165919,115.7335177,73604300,-1.095763353,111.0608826
11/23/2020,111.0608826,114.7385287,110.9633339,114.3093055,127959300,-2.974244701,112.348526
11/24/2020,112.348526,113.0118674,109.8317299,111.1193993,113874200,1.159403206,113.1874847
11/25/2020,113.1874847,113.8898473,112.3485525,112.719248,76499200,0.746746549,113.7337418
11/27/2020,113.7337418,114.6116948,113.3728109,113.714235,46691300,0.482612561,116.1334763
11/30/2020,116.1334763,118.0064377,113.9483472,114.104431,169410200,2.109958276,119.7135773
12/1/2020,119.7135773,120.4452036,117.0699684,118.0454702,127728200,3.082746792,120.0647659
12/2/2020,120.0647659,120.3476624,117.9284146,119.0307289,89004200,0.293357418,119.9281845
12/3/2020,119.9281845,120.7476024,119.216065,120.4939699,78967600,-0.113756455,119.2550964
12/4/2020,119.2550964,119.8501531,118.5429768,119.5965206,78260400,-0.561242611,120.7183304
12/7/2020,120.7183304,121.5182414,119.2550779,119.3136056,86712000,1.226978126,121.3329391
12/8/2020,121.3329391,121.9182463,120.0745406,121.3231895,82225500,0.509126296,118.796608
12/9/2020,118.796608,122.8644487,118.0357178,121.4792379,115089200,-2.090389629,120.2208328
12/10/2020,120.2208328,120.8354037,117.206536,117.5479601,81312200,1.1988767,119.4111786
12/11/2020,119.4111786,119.7526027,117.5967447,119.4306854,86939800,-0.67347249,118.796608
12/14/2020,118.796608,120.3281455,118.5624896,119.5965191,79184500,-0.514667575,124.7471619
12/15/2020,124.7471619,124.7666761,121.0890303,121.2938848,157243700,5.009026769,124.6788864
12/16/2020,124.6788864,125.2251651,123.4595091,124.2886916,98208600,-0.054731066,125.5470734
12/17/2020,125.5470734,126.4055197,124.9032386,125.7421707,94359800,0.69633839,123.557045
12/18/2020,123.557045,125.9372714,123.0302732,125.8007018,192541500,-1.585085441,125.0885773
12/21/2020,125.0885773,125.1666192,120.4256804,121.9572177,121251600,1.239534571,128.649231
12/22/2020,128.649231,131.1172503,126.4738504,128.3858412,168904800,2.846505863,127.7517014
12/23/2020,127.7517014,129.1856751,127.5761033,128.9223003,88223700,-0.697656407,128.736969
12/24/2020,128.736969,130.190472,127.8882872,128.1028988,54930100,0.771236413,133.3413696
12/28/2020,133.3413696,133.97544,130.2392656,130.7075172,124486200,3.576595496,131.5659027
12/29/2020,131.5659027,135.3898674,131.048888,134.6680057,121047300,-1.331519936,130.4441223
12/30/2020,130.4441223,132.6585159,130.1319545,132.2585565,96452100,-0.852637631,129.4393158
